이슈,원인,원인 소분류,원인 대분류,조치결과,조치결과상세,로봇분류
동작불,비고장,비고장 / 고객취소,고객사용법,리부팅(HW),,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
동작불,관성 센서 불량,HW / TX2(HW 센서/구동부 보드),로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),화면터치불,베어 서빙로봇
동작불가,"호출벨/오더연동오류, 오더수행중 종료",외부시스템 / 기타,기타,기타(외부시스템),연동솔루션점검예정,베어 서빙로봇
동작장애로 방문,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",매장 환경변화로 재매핑,베어 서빙로봇
라벨조정,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",라벨조정,"서빙로봇,방역로봇 충전기"
라이다 틀어짐 로봇관제,바퀴 불량,HW / 바퀴,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),로봇 구동부 이물질제거,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로드수정요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,LG 서비스로봇2 임대형
로보케어 스케쥴 방역실패,로봇 에러(재부팅 필요),HW / 바퀴,로봇문제(HW),로봇교체(HW),고장교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로보케어 스케쥴 방역이 잘사용중이었는데 오전부터 스케쥴 방역 안됨,기타,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",SW 다운그레이드,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로보케어 앱 연결 않됨,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),파워재부팅 및 상황판 재연동,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로보케어불,로보케어 APP 오류,SW / 자율주행,로봇문제(SW),로보케어 APP 개선(로봇플랫폼),로보케어 오류,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
로보케어앱 사용법 안내,비고장,로봇플랫폼 / Robot Makers(로봇플랫폼),로봇플랫폼,로보케어 APP 개선(로봇플랫폼),양호,LG 서빙로봇 판매
로보케어앱 설정,매장 내 테이블 배치 변경,문의성 / 기술상담,고객사용법,"위치변경(대기장소, 목적지 테이블 등)(설정)",사용하지않는 테이블 번호 삭재요청,베어 서빙로봇
로보케어앱 설치,로보케어 APP 오류,로봇플랫폼 / 로보케어 APP,로봇플랫폼,로보케어 APP 개선(로봇플랫폼),로보케어앱설치,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로복 복귀못하고 느리게이동,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),자연회복(자연회복),로봇 메모리 오버플로어,베어 서빙로봇
로봇  서빙시 테이블 도착시오류 발생,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),양호,베어 서빙로봇
로봇  오작동으로  방문요청,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),리부팅(HW),재배치후정상,베어 서빙로봇
로봇  이동못하고 멈춰있음통로진입하다 접시 깨트림,충돌,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),v1.14.16 버전 이슈,LG서빙로봇(고객)
로봇  이동못하고 멈춰있음통로진입하다 접시 깨트림,충돌,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),v1.14.16 버전 이슈v1.14.19로 업데이트 후 해소,LG서빙로봇(고객)
로봇 1개 불통,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",6번 12번 테이블 도착에러 위치이동,LG 서빙로봇
로봇 1대  전원 불,충전스테이션 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),정상,LG서빙로봇(고객)
로봇 1대 부팅시 재시작 에러 계속 출력 점검요망,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),로봇교체(HW),로봇불량으로 교체작업,베어 서빙로봇
로봇 2대 멀티운행 불가 점검,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",멀티운행 장애해소 및 로보케어앱 제어,베어 서빙로봇
로봇 2대 점검,기타,SW / 자율주행,로봇문제(SW),공유기 환경 설정 개선(WiFi),로봇2대 운행시 에러점검 완료,베어 서빙로봇
로봇 2대중 1대 미동작,로봇 에러(재부팅 필요),HW / 관성 센서,로봇문제(HW),Xavier(SW응용부 보드) 불량복구(HW),마그네틱 센서 고장 조치,LG 서빙로봇 판매
로봇 4번룸 앞에서 멈춤현상,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),멀티로봇 교차로 급정거 현상 완화 작업,LG서빙로봇(POC)
로봇 고장 교체,전원부 불량,HW / 전원부,로봇문제(HW),로봇교체(HW),,베어 서비스로봇2 임대형
로봇 고주파음,(방역)플라즈마 공기살균기 불량,HW / (방역)플라즈마 공기살균기,로봇문제(HW),로봇교체(HW),,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇 공유기 분실되었다고 재설치 요청,공유기 불량,와이파이 / 공유기,무선품질문제,공유기 불량복구(HW),468311,LG 서빙로봇
로봇 교차시 우왕좌왕하는 증상이 많음,매장 내 신규 장애물 발생,SW / 자율주행,로봇문제(SW),기타(외부시스템),장애물 재배치 수리,LG서빙로봇(POC)
로봇 교차운행 불가,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),로봇클리닝 및 위치재배치,베어 서빙로봇
로봇 교체,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),로봇교체(HW),단말교체,베어 서빙로봇
로봇 교체,부팅오류/반복적인 재부팅,HW / 라이다 센서,로봇문제(HW),로봇교체(HW),로봇교체,베어 서빙로봇
로봇 교체,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),,베어 서빙로봇
로봇 교체,외장케이스 파손,HW / 외장케이스,로봇문제(HW),로봇교체(HW),로봇교체,LG 서빙로봇 판매
로봇 교체,비고장,HW / 외장케이스,로봇문제(HW),외장케이스 교체(HW),완료,베어 서빙로봇
로봇 교체 필요,3D 카메라(후면) 불량,SW / 자율주행,로봇문제(SW),3D 카메라(전면) 불량복구(HW),불량교체,베어 서빙로봇
로봇 교체..,TX2(HW 센서구동부 보드) 불량,HW / 관성 센서,로봇문제(HW),로봇교체(HW),,베어 서비스로봇2 임대형
로봇 교체후 음원변경및 단말 kos현행화,로봇 에러(재부팅 필요),설치 / 로봇 내부 설정,고객환경(변화),안내멘트 재설정(설정),판매형단말교체후 kos현행화,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
로봇 구동부 에러,"초기화오류, 오류 메시지발생",HW / 모터,로봇문제(HW),로봇교체(HW),,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇 기본 설정값 변경으로 인한 오류,TX2(HW 센서구동부 보드) 불량,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),제조사 원격지원,LG 서빙로봇 판매
로봇 길 못찾음긴급조치요청,서비스 매니저 오류(서빙/방역서비스처리),SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),리부팅(HW),재부팅 위치재배치,LG 서빙로봇 판매
로봇 네트워크 에러 점검요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),테이블위치 다수 수정,"서빙로봇,방역로봇 충전기"
로봇 대기위치 및 목적지수정,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),서빙대기위치 수정,베어 서빙로봇
로봇 동선 변경 요청,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",이동동선 변경요청,베어 서빙로봇
로봇 동작 간혹 불량,"자율주행 오류(멈춤, 금지구역침범 등)",HW / 라이다 센서,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),,베어 서빙로봇
로봇 동작 안함,비고장,HW / 배터리,로봇문제(HW),충전스테이션 불량복구(HW),,베어 서빙로봇
로봇 동작 이상 SOM보드교체 L사 직원 입회,TX2(HW 센서구동부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),SOM보드교체완료,LG 서빙로봇 판매
로봇 동작불,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),장애물 제거(환경),로봇재치,베어 서빙로봇
로봇 디스플레이창표시 안됨,자연회복,HW / 터치패널,로봇문제(HW),자연회복(자연회복),제작사 점검의뢰,LG 서비스로봇2 판매형
로봇 라이다 틀어짐 스케줄방역불가,"맵핑오류, 라이다 틀어짐",SW / 자율주행,로봇문제(SW),인스톨러 개선(SW),로봇 무선충전 재배치등,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇 라이더 에러발생,라이다 센서 불량,HW / 라이다 센서,로봇문제(HW),라우터 불량복구(HW),라이더 불량으로 poc로봇으로 긴급교체,LG서빙로봇(고객)
로봇 리부팅 현상 지속,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),로봇 불량,베어 서빙로봇
로봇 맥불일치 점검방문,로봇 에러(재부팅 필요),설치 / 로봇 내부 설정,고객환경(변화),자연회복(자연회복),로봇 맥불일치 점검,베어 서빙로봇
로봇 맵틀어짐,"멀티로봇 오류, 줄서기오류 등",SW / 자율주행,로봇문제(SW),멀티로봇/줄서기오류 등 개선(SW),맵수정 및 재부팅,베어 서빙로봇
로봇 멀티 주행불가,매장 내 신규 장애물 발생,SW / 자율주행,로봇문제(SW),멀티로봇/줄서기오류 등 개선(SW),로봇 라이더 위치 틀어짐,베어 서빙로봇
로봇 멈춤,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),업데이트후 로봇멈춤,
로봇 멈춤,라이다 센서 불량,HW / 라이다 센서,로봇문제(HW),라이다 불량복구(HW),오동작 및 무게센서 이싱,베어 서빙로봇
로봇 멈춤,"자율주행 오류(멈춤, 금지구역침범 등)",HW / 라이다 센서,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),재배치 라이다 이물질제거,베어 서빙로봇
로봇 멈춤현상  점거요청,바퀴 불량,HW / 바퀴,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),마커 재인식및이물질제거,LG 서빙로봇 판매
로봇 모터 불량 교체.,모터 불량,HW / 모터,로봇문제(HW),로봇교체(HW),,베어 서비스로봇2 임대형
로봇 무게센서 오류,트레이/적재함 불량,HW / 트레이/적재함,로봇문제(HW),로봇교체(HW),트레이 무게센서불량 교체판정,베어 서비스로봇2 임대형
로봇 무선충전불량,충전스테이션 불량,HW / 충전스테이션,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),로봇불량-공급사 SWAP판정으로 서비스예정,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
로봇 무선충전안됨,매장 내 신규 장애물 발생,SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",로봇위치 에러,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇 미동작,관성 센서 불량,HW / TX2(HW 센서/구동부 보드),로봇문제(HW),관성 센서 불량복구(HW),양호,LG 서비스로봇2 임대형
로봇 미동작,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 로봇 내부 설정,고객환경(변화),리부팅(HW),양호,베어 서빙로봇
로봇 미동작,로봇 에러(재부팅 필요),HW / 충전스테이션,로봇문제(HW),전원부 불량복구(HW),조치,LG 서빙로봇 판매
로봇 미사용 관련 점검R Brain,비고장,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),실내 통신품질 개선(LTE),LTE 미접속으로 미사용 발생(LTE 재접속 및 운영자 조치요령 설명),"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇 미사용 케어 및 베어서빙로봇 버전변경,기타,SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",버전변경,베어 서빙로봇
로봇 바퀴 부분에서 덜컹덜컹 소리가 납니다,트레이/적재함 불량,HW / 트레이/적재함,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),493319,LG서빙로봇(POC)
로봇 바퀴 청소 및 운행 점검,바퀴 불량,HW / 바퀴,로봇문제(HW),자연회복(자연회복),로봇바퀴 이물질제거 및 청소,베어 서빙로봇
로봇 방역 주행시 탄 냄새 발생,(방역)공기 흡입 펜 불량,HW / (방역)플라즈마 공기살균기,로봇문제(HW),로봇교체(HW),로봇 불량,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
로봇 방전후 유선 충전불,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),전원 어댑터 연결 불량,베어로봇틱스 판매형 방역로봇
로봇 방향 못잡는 증상,고객 조작 미숙,문의성 / 기술상담,고객사용법,조작법 안내(고객),위치 재배치 방법설명및 qr인식 설명,베어 서빙로봇
로봇 배식구 방향 내리막길에서 안내려감,라이다 센서 불량,HW / 관성 센서,로봇문제(HW),라이다 불량복구(HW),로봇,LG 서빙로봇 판매
로봇 복귀 불가,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",로봇 맵수정및 무게게이지설정,베어 서빙로봇
