이슈,원인,조치결과
장애물 발생,장애물 발생,장애물발생 위치조정
장애물 발생,장애물 발생,맵작성
충전불량,충전불량,충전기불량교체
글씨작음,글씨작음,일반 설정 키패드에서 목적지로 변경
로봇교체 필요함.,로봇교체 필요함.,교체완료
경로대로 안움직임,경로대로 안움직임,맵 정보 수정
간헐적 AI서빙로봇 멈춤현상,간헐적 AI서빙로봇 멈춤현상,테이블위치 맵위치와 상이함 미세조정후 복구 완료
[상품명]서빙로봇[신고자/연락처]홍성대/01045172635[문의(고장)내용]맵 변경 수정요청[답변(진단)내용],[상품명]서빙로봇[신고자/연락처]홍성대/01045172635[문의(고장)내용]맵 변경 수정요청[답변(진단)내용],리모델링 맵수정요청
sw교체,sw교체,sw교체
로봇무게센서 작동 불,로봇무게센서 작동 불,무게센서 오작동
로봇교체,로봇교체,로봇교체
충전불,충전불,충전off
방역구역 변경,방역구역 변경,방역구역 수정
고장판정 로봇 교체,고장판정 로봇 교체,고장판정 교체
멀티로봇 1대 백화현상,멀티로봇 1대 백화현상,로그분석 요청
멈충현상,멈충현상,정상처리
[상품명]서빙로봇[신고자/연락처]홍성대/01045172635[문의(고장)내용]서빙후 복귀 불/ 위치변경후 재설정해도 상태 동일[답변(진단)내용]현장점검 요청,[상품명]서빙로봇[신고자/연락처]홍성대/01045172635[문의(고장)내용]서빙후 복귀 불/ 위치변경후 재설정해도 상태 동일[답변(진단)내용]현장점검 요청,로봇이서빙후안돌아옴
화면 글씨 작아짐,화면 글씨 작아짐,
로봇 주행중 안녕하세요 오류발생함,로봇 주행중 안녕하세요 오류발생함,
[회선/단말특이사항]서빙로봇[신고자/연락처]010-6463-0726/김석재[문의(고장)내용]장애물이 있다고 진행안됨/ 전반적으로 점검요청하심/ 테이블 이동은 없었다고 하심[답변(진단)내용]방문점검요청[기타],[회선/단말특이사항]서빙로봇[신고자/연락처]010-6463-0726/김석재[문의(고장)내용]장애물이 있다고 진행안됨/ 전반적으로 점검요청하심/ 테이블 이동은 없었다고 하심[답변(진단)내용]방문점검요청[기타],라이더 위치 틀어짐
테이블  멈춤 현상,테이블  멈춤 현상,
테이블  멈춤 현상,테이블  멈춤 현상,
방문점검 요청,방문점검 요청,로봇 재배치 및 방역속도 변경-사용법 안내드림
원격관제시 오류누적사용율 확인불,원격관제시 오류누적사용율 확인불,LTE오류
돌아오는장소가 대기로 안오고 충전장소로 복귀장소를 대기로 했는데도 그렇다함SW업데이트 관제요청중,돌아오는장소가 대기로 안오고 충전장소로 복귀장소를 대기로 했는데도 그렇다함SW업데이트 관제요청중,신버전업그레이드후 정상동작
[상품명]서빙로봇[신고자/연락처]금혜정 010-9254-4778[문의(고장)내용] 화면에 인증처리 안된다고 표시되면서 동작 안함[답변(진단)내용]방문 점검 요청 [기타] 남고객:010-9372-1018인입,[상품명]서빙로봇[신고자/연락처]금혜정 010-9254-4778[문의(고장)내용] 화면에 인증처리 안된다고 표시되면서 동작 안함[답변(진단)내용]방문 점검 요청 [기타] 남고객:010-9372-1018인입,로봇초기화됨
멈춤,멈춤,T-START위치재배치
로봇와이파이 점검 요청,로봇와이파이 점검 요청,와이파이점검
화면 글자 작아짐,화면 글자 작아짐,
무게센서오작동,무게센서오작동,무게센서오작동
베어사 SWAP판정 교체,베어사 SWAP판정 교체,베어사 swap판정 교체
자동충전오류,자동충전오류,로봇off상태
전원 충전 안됨,전원 충전 안됨,고객부주의
로봇 공유기 분실되었다고 재설치 요청,축산물프라자동대구IC점,468311
엘지클로이 업그레이드 불가,간월도 2호점,468973
엘지클로이 SW 업그레이드 불가,필드스크린,468973
엘지서빙로봇 서빙중 수시로 멈춤,이비가짬뽕율량점,468990
POC 사후캐어,주식회사 케이티,468970
제조사 수리로봇 원상,돈탑,468990
로봇2번 작동불,팬차이나디큐브점(주)엔타스,493317
"로봇 poi목적지 전체삭제로
로봇 사용불가",영광원조양평해장국,468610
내위치찾기 오류,도원춘,468970
POC 로봇 점검,주식회사 케이티,468973
로봇 주행불가,알지골프,468312
로봇 바퀴 부분에서 덜컹덜컹 소리가 납니다,하늘찬,493319
1번테이블 도착불,도야짬뽕 화정점,468610
충전불,도원춘,468970
서비스준비중 잠시 가다려 주세요 메세지 반복 발생,라라포차,468014
로봇 운행점검,도원춘,468970
"[상품명]서빙로봇
[신고자/연락처]윤혜지/01037563012
[문의(고장)내용]로봇2대 사용중/2대모두 움직임이 버벅거리고, 멈추기도함/자리를 잘못찾는것 같다고 하심
[답변(진단)내용]현장방문 점검필요
[기타]",미가네가야밀면,468015
퇴식장소오류,단지,468630
와이파이접속불량,경복궁대화점(주)엔타스시스템,466995
로봇주행중 멈춤현상,인디안참숯구이,468336
"[상품명]서빙로봇
[신고자/연락처]대표님01095944980
[문의(고장)내용]1번테이블 동선 수정요청입니다
[답변(진단)내용]노선변경 방분요청
[기타]KT영업 박윤호01095944980",주식회사 케이티 서비스 북부,493243
로봇 불통,농업회사법인(주)울소가덕한우식당,468990
환경변화 로봇 장애,환경변화 로봇 장애,환경변화로 재매핑 작업
환경변화 로봇 장애,환경변화 로봇 장애,환경변화로 재매핑 작업
서빙대기  위치 이동 및 목적지수정,서빙대기  위치 이동 및 목적지수정,서빙대기  위치이동
로봇 고주파음,로봇 고주파음,
담당자변경비즈나루연락처변경,담당자변경비즈나루연락처변경,담당자변경으로 비즈나루에서 연락처변경 스케쥴러방역변경
[상품명]서빙로봇[신고자/연락처]055-3225783 한정애[문의(고장)내용]로봇 WiFI연결안된다고하심[답변(진단)내용]로봇reset /WiFi재설정[기타],[상품명]서빙로봇[신고자/연락처]055-3225783 한정애[문의(고장)내용]로봇 WiFI연결안된다고하심[답변(진단)내용]로봇reset /WiFi재설정[기타],베어로봇
로봇불량 특수수요 AS교체,로봇불량 특수수요 AS교체,문의성
불량교체 특수수요 요청,불량교체 특수수요 요청,특수수요AS 교체처리
로봇불량 신규교체,로봇불량 신규교체,특수수요 AS교체
[상품명]베어로봇[신고자/연락처]010-9615-9511[문의/고장 내용] 로봇 액정 화면 글씨 작아 적다고 함  크게 설정요청 하심[답변/진단/내용] 글자 크기 문의[기타],[상품명]베어로봇[신고자/연락처]010-9615-9511[문의/고장 내용] 로봇 액정 화면 글씨 작아 적다고 함  크게 설정요청 하심[답변/진단/내용] 글자 크기 문의[기타],22.2.7에서 22.4.2로 버전업
[상품명] 서빙로봇[신고자/연락처] 최재국 01087168874[문의(고장)내용] 사업자 번호 1170227903  로봇작동안됨[답변(진단)내용] 담당부서 안내[기타],[상품명] 서빙로봇[신고자/연락처] 최재국 01087168874[문의(고장)내용] 사업자 번호 1170227903  로봇작동안됨[답변(진단)내용] 담당부서 안내[기타],
로봇이 통통튀고 이상함 점검요청,로봇이 통통튀고 이상함 점검요청,바퀴이물질제거 및 소프트웨어 업그레이드
부팅불,부팅불,버전업
로보케어불,로보케어불,로보케어 오류
테이블이동,테이블이동,테이블 위치조정
동작장애로 방문,동작장애로 방문,매장 환경변화로 재매핑
운행 장애,운행 장애,동작에러로 맵수정 로봇센서 클리닝 SW버전업
운행불가,운행불가,
[상품명][신고자/연락처]이혁재/010-3209-9662[문의(고장)내용]전원이 안들어온다고함[답변(진단)내용]점검요[기타],[상품명][신고자/연락처]이혁재/010-3209-9662[문의(고장)내용]전원이 안들어온다고함[답변(진단)내용]점검요[기타],
로봇이 멈춰서서 안감확인요청,로봇이 멈춰서서 안감확인요청,탁자가 밀려서 원상복구로 회복
usb커넥터 오류,usb커넥터 오류,usb커넥터불량
로봇 이동설치 요청,로봇 이동설치 요청,
주행중 멈춤현상 초기화오류,주행중 멈춤현상 초기화오류,로봇교체
주행중 멈춤현상,주행중 멈춤현상,로봇교체
로봇 주행중 멈춤현상,로봇 주행중 멈춤현상,로봇교체
주행중멈춤 재부팅현상,주행중멈춤 재부팅현상,로봇
주행중 멈춤현상 초기화오류,주행중 멈춤현상 초기화오류,로봇교체
주행 오작동,주행 오작동,테이블 재배치 수정
[상품명]서빙로봇[신고자/연락처]여고객님/01086270179[문의(고장)내용]로봇작동불/1주일전에 미납요금 완납했는데도 작동 안한다고 하심[답변(진단)내용]원격점검불[기타],[상품명]서빙로봇[신고자/연락처]여고객님/01086270179[문의(고장)내용]로봇작동불/1주일전에 미납요금 완납했는데도 작동 안한다고 하심[답변(진단)내용]원격점검불[기타],위치 재배치
실내 구조변경,실내 구조변경,재설치
로봇 교체 필요,로봇 교체 필요,불량교체
[서비스]서빙봇[불편사항]로봇점검요[점검내용kt안훈01034835401 현장 접수요청건[참고/연락처]01022878858,[서비스]서빙봇[불편사항]로봇점검요[점검내용kt안훈01034835401 현장 접수요청건[참고/연락처]01022878858,
로복 복귀못하고 느리게이동,로복 복귀못하고 느리게이동,로봇 메모리 오버플로어
로봇 운행에러긴급조치요청,로봇 운행에러긴급조치요청,사용미숩
버전업후 비정상,버전업후 비정상,LG cloi v11110 버전업 및 로보케어 
멀티로봇 동선 변경,멀티로봇 동선 변경,맵에디터 수정및 테스트 주행
로봇 멈춤,로봇 멈춤,업데이트후 로봇멈춤
로봇이 마크인식했는데 오류가 발생하니 점검 요청,로봇이 마크인식했는데 오류가 발생하니 점검 요청,버젼업완료로 회복
엘지 클로이 바퀴에러 주행불가,엘지 클로이 바퀴에러 주행불가,
위치인식오류 네비피씨 오류,위치인식오류 네비피씨 오류,NAVI 보드 교체후 재등록
주행복귀후 에러멘트 남은 물건,주행복귀후 에러멘트 남은 물건,토퍼센서 이물질제거
sw교체,sw교체,sw교체
로봇 한대 불량,로봇 한대 불량,민감도 및 이미지수정 
버젼업,버젼업,이상없음 
호출벨 교체,호출벨 교체,호출벨교체
PoC사후케어 요청,PoC사후케어 요청,노드조정
위치잃음 반복현상,위치잃음 반복현상,보드교체
방전상태 대기장소 복구불,방전상태 대기장소 복구불,고장처리완료
qr인식 안됨,qr인식 안됨,
테이블이동,테이블이동,테이블이동
맵 재작성,맵 재작성,맵재작성
"[상품명]서빙로봇
[신고자/연락처]010-6208-9389/ 려서윤
[문의(고장)내용]2대 사용중 업데이트 후 이동중 기뚱 후 멈춤으로 짬봉 국물이 훌려짐/ 어제 엔지니어링 방문해서 속도를 줄였는데 동일 현상으로 금일도 엔지어링 방문했는데 업데이트 어떻한것을 했는데 이런현상이 발생되었는지 문의주심
[답변(진단)내용]업데이트 한 내용도 확인  요청도 하심
[기타]","[상품명]서빙로봇
[신고자/연락처]010-6208-9389/ 려서윤
[문의(고장)내용]2대 사용중 업데이트 후 이동중 기뚱 후 멈춤으로 짬봉 국물이 훌려짐/ 어제 엔지니어링 방문해서 속도를 줄였는데 동일 현상으로 금일도 엔지어링 방문했는데 업데이트 어떻한것을 했는데 이런현상이 발생되었는지 문의주심
[답변(진단)내용]업데이트 한 내용도 확인  요청도 하심
[기타]",노드 재구성및 저속구간 재설정 작업
"[상품명]서빙로봇
[신고자/연락처]이영주 팀장님/010-9779-7775
[문의(고장)내용]진행중 멈춤
[답변(진단)내용]
[기타]","[상품명]서빙로봇
[신고자/연락처]이영주 팀장님/010-9779-7775
[문의(고장)내용]진행중 멈춤
[답변(진단)내용]
[기타]",범퍼 센서 크리닝
[상품명]서빙로봇[신고자/연락처]원관식010-6266-1910[문의(고장)내용]서빙로봇 작동불기[답변(진단)내용]점검요청[기타],[상품명]서빙로봇[신고자/연락처]원관식010-6266-1910[문의(고장)내용]서빙로봇 작동불기[답변(진단)내용]점검요청[기타],..
